"Player","Team","Pos","Ht","Hometown","Exp","Debut","DOB","Age","G","MPG","PPG","RPG","APG"
"Maddy Siegrist","DAL","F","","","","2023","2000-05-22","","32","7.9","3.9","1.7","0.2"
"Lou Lopez Senechal","DAL","DND","","","","2023","1998-05-12","","4","0.0","0.0","0.0","0.0"
"Kadiatou Sissoko","PHX","G","","","","2023","1999-01-25","","32","6.9","1.1","1.2","0.2"
"Sika Kone","CHI","G","5-10","","","2023","2002-07-13","","16","6.9","2.7","2.2","0.3"
"Kalani Brown","DAL","","6-07","Slidell, LA","","2019","1997-03-21","—","29","15.9","7.7","4.7","0.9"
"Diana Taurasi","PHX","G","6-00","Glendale, CA","","2006","1982-06-11","41","26","25.2","14.8","3.3","4.4"
"Candace Parker","LVA","C","6-04","Naperville, IL","","2008","1986-04-19","37","19","21.9","8.5","5.1","3.5"
"Kristi Toliver","WSH","G","5-07","Harrisonburg, VA","","2009","1987-01-27","36","10","8.5","3.5","0.5","0.7"
"Alysha Clark","LVA","G","5-11","Mt. Juliet, TN","","2012","1987-07-07","36","34","21.7","6.5","3.2","1.0"
"DeWanna Bonner","CON","F","6-04","Fairfield, AL","","2009","1987-08-21","36","34","30.2","18.2","5.6","2.2"
"Yvonne Turner","SEA","G","5-10","Omaha, NE","","2017","1987-10-13","35","17","9.4","2.5","1.2","0.8"
"Epiphanny Prince","NYL","G","5-09","Brooklyn, NY","","2010","1988-01-11","35","11","6.1","1.6","0.5","0.7"
"Sami Whitcomb","SEA","G","5-10","Ventura, CA","","2017","1988-07-20","35","33","22.2","9.2","2.8","2.6"
"Shey Peddy","PHX","G","5-07","Roxbury, MA","","2019","1988-10-28","34","22","11.7","4.0","1.3","1.4"
"Courtney Vandersloot","NYL","G","5-08","Kent, WA","","2011","1989-02-08","34","33","29.3","9.2","3.5","7.9"
"Cayla George","LVA","F","6-04","Mount Barker, Australia","","2017","1989-05-01","34","27","7.5","2.4","1.6","0.4"
"Danielle Robinson","ATL","G","5-09","San Jose, CA","","2011","1989-05-10","34","25","18.9","5.6","2.2","3.2"
"Emma Cannon","IND","F","6-02","Rochester, NY","","2017","1989-06-01","34","23","9.8","5.4","3.3","0.5"
"Sydney Colson","LVA","G","5-08","Houston, TX","","2011","1989-08-06","34","23","3.3","0.8","0.3","0.9"
"Elena Delle Donne","WSH","F","6-05","Wilmington, DE","","2013","1989-09-05","33","18","25.2","15.5","5.1","2.2"
"Tiffany Hayes","CON","G","5-10","Fort Polk, LA","","2012","1989-09-20","33","34","26.9","12.1","3.3","2.6"
"Jasmine Thomas","LAS","G","5-09","Fairfax, VA","","2011","1989-09-30","33","26","10.8","2.5","1.1","1.2"
"Riquna Williams","LVA","DND","5-06","Pahokee, FL","","2012","1990-05-28","33","4","0.0","0.0","0.0","0.0"
"Nneka Ogwumike","LAS","F","6-02","Tomball, TX","","2012","1990-07-02","33","31","31.0","19.3","9.0","2.8"
"Rebekah Gardner","CHI","DND","6-01","Upland, CA","","2022","1990-07-09","33","16","3.6","1.3","0.7","0.4"
"Brittney Griner","PHX","C","6-09","Houston, TX","","2013","1990-10-18","32","25","26.2","17.2","6.7","2.0"
"Tianna Hawkins","WSH","C","6-03","Washington, DC","","2013","1991-03-02","32","33","22.8","8.8","5.0","1.5"
"Layshia Clarendon","LAS","F","5-09","San Bernadino, CA","","2013","1991-03-02","32","19","23.7","8.3","2.7","3.0"
"Erica Wheeler","IND","G","5-07","Miami, FL","","2015","1991-05-02","32","32","25.8","10.0","2.9","5.0"
"Natasha Howard","DAL","F","6-02","Toledo, OH","","2014","1991-09-02","31","35","32.5","16.3","8.0","2.3"
"Stefanie Dolson","NYL","F","6-05","Port Jervis, NY","","2014","1992-01-08","31","24","7.4","2.1","1.2","0.8"
